,Timestamp,Experiment Seed,SGDL Seed,Name,SGDL Hash,Generation Method,Parent 1,Parent 2
0,1780653868,412829024,888688804,Uhut,2031400,Random,,
1,1780653868,412829024,326160451,Pruza,977647398,Random,,
2,1780653868,412829024,341295893,Grejil,10635424,Random,,
3,1780653868,412829024,455359366,Finez,253207912,Random,,
4,1780653868,412829024,543101395,Nuk,956096003,Random,,
5,1780653868,412829024,531006807,Udu,105979137,Random,,
6,1780653868,412829024,392320117,Gilux,512055643,Random,,
7,1780653868,412829024,982016304,Pixi,430501293,Random,,
8,1780653868,412829024,158159430,Louxu,18448602,Random,,
9,1780653868,412829024,954158070,Teha,100654740,Random,,
10,1780653868,412829024,588562057,Hera,158834655,Random,,
11,1780653868,412829024,804758028,Brealub,403085859,Random,,
12,1780653868,412829024,200539669,Ogew,320297730,Random,,
13,1780653868,412829024,678978926,Ela,953945756,Random,,
14,1780653868,412829024,402989685,Tic,745904394,Random,,
15,1780653868,412829024,984668278,Uvouj,699945659,Random,,
16,1780653868,412829024,864971564,Grioma,164023482,Random,,
17,1780653868,412829024,644362895,Fiyey,940471529,Random,,
18,1780653868,412829024,841805838,Ije,617057844,Random,,
19,1780653868,412829024,644309936,Eca,538517118,Random,,
20,1780653868,412829024,762683122,Vaiday,126316346,Random,,
21,1780653868,412829024,552570575,Upij,811122012,Random,,
22,1780653868,412829024,123298542,Muqo,651349767,Random,,
23,1780653868,412829024,311234513,Drokiy,102896209,Random,,
24,1780653868,412829024,303260832,Brohe,123465332,Random,,
25,1780653868,412829024,824651087,Stola,756614925,Random,,
26,1780653868,412829024,451957220,Epu,165694863,Random,,
27,1780653868,412829024,434194036,Lofu,357582754,Random,,
28,1780653868,412829024,90124583,Exu,752995594,Random,,
29,1780653868,412829024,724982808,Sey,178735085,Random,,
30,1780653868,412829024,981073609,Evo,806551391,Random,,
31,1780653868,412829024,95514345,Prir,273590613,Random,,
32,1780653868,412829024,94712426,Veam,205471019,Random,,
33,1780653868,412829024,275971292,Prasi,731536898,Random,,
34,1780653868,412829024,536438983,Joulo,218732915,Random,,
35,1780653868,412829024,166078071,Ocuiq,838847755,Random,,
36,1780653868,412829024,187320704,Toun,200175655,Random,,
37,1780653868,412829024,635478220,Mimid,262098305,Random,,
38,1780653868,412829024,967403975,Ifi,30344228,Random,,
39,1780653868,412829024,586635412,Zacog,130821826,Random,,
40,1780653868,412829024,602243147,Tico,587630505,Random,,
41,1780653868,412829024,283992851,Croukiq,648941601,Random,,
42,1780653868,412829024,102285369,Oqi,535522086,Random,,
43,1780653868,412829024,302323859,Staele,309599587,Random,,
44,1780653868,412829024,645397166,Uduf,140124261,Random,,
45,1780653868,412829024,964432279,Uwe,100697471,Random,,
46,1780653868,412829024,300825218,Abu,475976007,Random,,
47,1780653868,412829024,624677376,Bigij,108359108,Random,,
48,1780653868,412829024,523766443,Brioqip,301309145,Random,,
49,1780653868,412829024,797878707,Frevoz,572278376,Random,,
50,1780653868,412829024,98231806,Ipuy,883369725,Random,,
51,1780653868,412829024,989157882,Zioc,475253906,Random,,
52,1780653868,412829024,45742117,Freay,543030745,Random,,
53,1780653868,412829024,425848326,Itix,868626454,Random,,
